Title,Conference,Year,Author,domain,DataType,Visualisation,Interaction,Machine_Learning,DataSource,Regulatory_Agencies,Regulations_Types,Regulation_Aims,Risk_Type,Financial_Risks,Risk_Management,picture
A Survey on Visual Analysis Approaches for Financial Data,EuroVis,2016,S. Ko,Computer science,None,None,None,None,None,None,None,None,None,None,None,1.png
The Application of Visual Analytics to Financial Stability Monitoring,Journal of financial stability,2016,Mark D. Flood,Computer science,None,None,None,None,None,None,None,None,None,None,None,3.png
Big Data in Finance,"Big data concepts, theories, and applications(Book)",2016,Bin Fang,Financial,None,None,None,None,None,None,None,None,None,None,None,4.png
Visual analytics for fraud detection and monitoring,VAST,2016,Roger A. Leite,Computer science,"Record data,Time serials",Histograms,"Abstract/Elaborate,Explore,Filter",not mention,Bank,Regulator,fraud detection,Fraud and market abuse detection and prevention,Business risk,Operational Risk,Identify,12.png
Interactive visual analysis of anomalous accounts payable transactions in SAP enterprise systems,Managerial Auditing Journal,2016,Kishore Singh,Computer science,"Record data,Network",Graph,Abstract/Elaborate,None,Organization,Regulator,fraud detection,Fraud and market abuse detection and prevention,Business risk,Operational Risk,Identify,52.png
"Macroprudential oversight, risk communication and visualization",Journal of financial stability,2016,Peter Sarlin,Both,None,None,None,None,None,None,None,None,None,None,None,58.png
Bitconeview: visualization of flows in the bitcoin transaction graph,VizSec,2015,Di Battista G,Computer science,"Time serials,Record data",Axis,"Abstract/Elaborate,Encode,Explore,ReconfigureEncode,Select",,Open source data,Regulator,"fraud detection,Bitcoin transaction analysis",Blockchain,Business risk,"Market Risk,Operational Risk","Identify,Awareness",22.png
Discovery of rating fraud with real-time streaming visual analytics,VizSec,2015,Kodzo Webga,Computer science,"Record data,Time serials",Pixel matrix,"Abstract/Elaborate,Explore,Filter,Select,ReconfigureEncode",None ,None,Regulator,Rating fraud,Fraud and market abuse detection and prevention,Business risk,Operational Risk,Evaluation,49.png
Visualizing large-scale structure of a million-firmsEconomic network,SA'15 Symposium on VisHPC,2015,Yuji Fujita,Computer science,"Record data,Network",force-directed graph drawing with N-body simulation in physics,"Abstract/Elaborate,ReconfigureEncode",MDS,Open source data,Regulator,Financial analysis,None,None,None,None,50.png
Financevis.net:A Visual Survey of Financial Data Visualizations,IEEE VIS,2014,Maxime Dumas,Computer science,None,None,None,None,None,None,None,None,None,None,None,2.png
Mapping financial stability,Mapping Financial Stability(Book),2014,Sarlin P,Computer science,"Record data,Spatiotemporal",SOM,"Abstract/Elaborate,Encode,Explore,Abstract/Elaborate,Encode,Explore",SOM,Open source data,Regulator,Financial trend analysis,Financial stability monitoring,Environmental risk,Market Risk,Monitor,5.png
Dynamic visualization of large transaction networks: the daily Dutch overnight money market,DNB Working Paper,2014,R Heijmans,Computer science,"Network,Time serials","Animations,The ForceAtlas2 layout","Abstract/Elaborate,Encode",None,Open source data,Regulator,"Financial analysis,Inflation monitoring,Market monitoring",Financial stability monitoring,Economic risk,"Market Risk,Liquedity Risk",Monitor,9.png
VAET: A visual analytics approach for e-transactions time-series,TVCG,2014,Cong Xie,Computer science,"Time serials,Record data","Heatmap,Histograms,KnotLines","Abstract/Elaborate,Encode,Connnect,Explore,Filter,ReconfigureEncode,Select",Decision Tree,Open source data,Regulator,"fraud detection,Commodities analysis",Fraud and market abuse detection and prevention,Business risk,Operational Risk,Identify,15.png
Using Visual Analytics to Enhance Data Exploration and Knowledge Discovery in Financial Systemic Risk Analysis: The Multivariate Density Estimator,iConference,2014,Victoria L. Lemieux,Computer science,Record data,Tree map,"Abstract/Elaborate,Explore,Filter,Select,Encode",,Bank,Regulator,Financial analysis,Financial stability monitoring,"Financial risk,Economic risk",Market Risk,Evaluation,26.png
From Text to Bank Interrelation Maps,IEEE Conference on Computational Intelligence for Financial Engineering &Economics,2014,Peter Sarlin,Computer science,"Record data,Time serials",The node-link graph,"Abstract/Elaborate,Explore,Encode",None,Open source data,Regulator,Bank interrelations analysis,None,None,None,"Monitor,Awareness",33.png
Visual Analytics for Detecting Anomalous Activity in Mobile Money Transfer Services,International Federation for Information Processing,2014,Evgenia Novikova,Computer science,Record data,The graph-based view,"Abstract/Elaborate,Connnect,Explore,Select,Filter",dimensionality reduction,,Regulator,fraud detection,Mobile money transfer,Business risk,Operational Risk,"Identify,Awareness",34.png
Stream-based active learning for sentiment analysis in the financial domain,information sciences,2014,Jasmina Smailovic,Computer science,None,None,None,None,None,None,None,None,None,None,None,43.png
A Fraud Detection Visualization System Utilizing Radial Drawings and Heat-maps,IVAPP,2014,Evmorfia N. Argyriou?,Computer science,"Record data,Time serials","Radial,Heatmap","Abstract/Elaborate,Connnect,Explore,Filter,Select,Encode",Decision Tree,None,Regulator,fraud detection,Fraud and market abuse detection and prevention,Business risk,Operational Risk,Identify,46.png
Applying visual analytics to the global legal entity identifier system to enhance financial transparency,"Conference on Data Standards,Information,and Financial Stability",2014,Victoria L. Lemieux,Both,None,None,None,None,None,None,None,None,None,None,None,51.png
VectorLens: Angular Selection of Curves within 2D Dense Visualizations,TVCG,2014,Maxime Dumas,Computer science,"Record data,Time serials",Interactive Lens,"Abstract/Elaborate,Connnect,Explore,Filter,Select",None,Stock company,Consumer,stock analysis,Asset management,Business risk,Liquidity Risk,Evaluation,68.png
Financial forecasting using ANFIS networks with Quantum-behaved Particle Swarm Optimization,Expert Systems with Applications,2014,Ahmad Bagheri,Computer science,"Record data,Time serials","Line graphs,Scatter plots",Abstract/Elaborate,"Adaptive Network-based Fuzzy Inference System,Quantum-behaved Particle Swarm Optimization,Wavelet Transform",Stock company,Consumer,stock analysis,"Investment Banking,Asset management",Business risk,Liquidity Risk,Evaluation,69.png
BankSealer: An Online Banking Fraud Analysis and Decision Support System,ICT Systems Security and Privacy Protection,2014,Michele Carminati,Computer science,None,None,None,None,Bank,Regulator,fraud detection,Fraud and market abuse detection and prevention,Business risk,Operational Risk,Identify,90.png
Exploiting the self-organizing financial stability map,Engineering Applications of Artificial Intelligence,2013,Sarlin P,Computer science,"Record data,Spatiotemporal",SOM,"Abstract/Elaborate,Encode,Explore",SOM,Open source data,Regulator,Financial trend analysis,Financial stability monitoring,Environmental risk,Market Risk,Monitor,6.png
Self-organizing time map: An abstraction of temporal multivariate patterns,Neurocomputing,2013,Sarlin P,Computer science,"Record data,Spatiotemporal",SOM,"Abstract/Elaborate,Encode,Explore",SOM,Open source data,Regulator,Financial trend analysis,Financial stability monitoring,Environmental risk,Market Risk,Monitor,8.png
Financial Visualization Case Study: Correlating Financial Timeseries and Discrete Events to Support Investment Decisions,InfoVis,2013,Eugene Sorenson,Computer science,"Record data,Time serials","Timeline,The line graph","Abstract/Elaborate,Connnect,ReconfigureEncode,Filter",None,Stock company,Consumer,stock analysis,"Investment risk,Stock forestcasting",Business risk,Liquidity Risk,Evaluation,36.png
Occupational fraud detection through visualization,IEEE International Conference on Intelligence and Security Informatics,2013,Evmorfia N. Argyriou ,Computer science,Record data,"Rader view,Tree map,The line graph,Bar chart","Abstract/Elaborate,Connnect,Explore,ReconfigureEncode,Select,Filter",None,None,Regulator,fraud detection,Fraud and market abuse detection and prevention,Business risk,Operational Risk,Identify,45.png
The application of visual analytics to financial decision-making and risk management: Notes from behaviouralEconomic,Financial Analysis and Risk Management,2013,Anya C. Savikhin,Both,None,None,None,None,None,None,None,None,None,None,None,56.png
Louvain Clustering for Big Data Graph Visual Analytics,IEEE Symposium on Information Visualization,2013,David Gauldie,Computer science,Network,Node-link diagram,"Abstract/Elaborate,Encode",Louvain Clustering,Open source data,Regulator,fraud detection,Fraud and market abuse detection and prevention,Business risk,Operational Risk,"Identify,Evaluation",67.png
RiskVA: A Visual Analytics System for Consumer Credit Risk Analysis,Tsinghua Science and Technology ,2012,Xiaoyu Wang,Computer science,Record data,"Heatmap,bubble chart,bar chart","Abstract/Elaborate,Connnect,Encode,Explore,Filter,Select",None,Bank,Bank,Consumer credit risk analysis/Credit product assess,Credit product assess,Business risk,Credit Risk,Evaluation,32.png
Sphere-based Information Visualization: Challenges and Benefits,InfoVis,2012,Brath R,Computer science,Record data,"Sphere-based scatter plot,Sphere-based tree map","Abstract/Elaborate,Explore,Reconfigure",None,Stock company,Regulator,stock analysis,Asset management,Business risk,Liquidity Risk,Evaluation,66.png
Vis4AUI: Visual Analysis of Banking Activity Networks,IVAPP 2012 - International Conference on Information Visualization Theory and Applications,2012,Walter Didimo,Computer science,Network,"Node-link diagram,line graph,pie chart","Explore,Abstract/Elaborate,Filter,Select",None,Bank,Regulator,fraud detection,Fraud and market abuse detection and prevention,Business risk,Operational Risk,Identify,89.png
An advanced network visualization system for financial crime detection,IEEE PacificVis,2011,Walter Didimo,Computer science,Network,The node-link graph,"Encode,Explore,Abstract/Elaborate,Select",Similar to k-core,Bank,Regulator,fraud detection,Fraud and market abuse detection and prevention,Business risk,Operational Risk,Identify,27.png
An Experimental Study of Financial Portfolio Selection with Visual Analytics for Decision Support,Hawaii International Conference on System Sciences,2011,Anya Savikhin,Computer science,Record data,"Bar chart, Scatter plot","Abstract/Elaborate,Connnect,Explore,Filter,Select",None,Bank,Consumer,Assets/Fund analysis,Investment risk,Business risk,Liquidity Risk,Evaluation,54.png
Business Analytics Based on Financial Time Series,IEEE SIGNAL PROCESSING MAGAZINE,2011, Kush R. Varshney,Both,None,None,None,None,None,None,None,None,None,None,None,59.png
Visual signatures for financial time series,VINCI - International Symposium on Visual Information Communication and Interaction,2011,Su Te Lei,Computer science,Time serials,Glyph plot,Abstract/Elaborate,None,Stock company,Investor,stock analysis,Investment risk,Business risk,Liquidity Risk,Evaluation,62.png
A Novel Explorative Visualization Tool for Financial Time Series Data Analysis,International UKVAC Workshop on Visual Analytics,2011,Matthias Schaefer,Computer science,Time serials,"Line graph, Pixel bar chart","Abstract/Elaborate,ReconfigureEncode,Select,Explore",None,Stock company,Investor,"Assets/Fund analysis,stock analysis",Asset management,Business risk,Liquidity Risk,Evaluation,63.png
Fuzzy Clustering of the Self-Organizing Map: Some Applications on Financial Time Series,Workshop on Self-Organizing Maps,2011,Sarlin P,Computer science,"Time serials,Record data",Hexagonal self-organizing map grid,"Abstract/Elaborate,Encode","Fuzzy C-means clustering,Self-organizing maps",Open source data,Regulator,Market monitoring,Financial stability monitoring,Financial risk,Market Risk,Monitor,64.png
Sovereign debt monitor: A visual Self-organizing maps approach,IEEE Symposium on Computational Intelligence for Financial Engineering and Economics,2011,Sarlin P,Computer science,"Record data,Time serials",Hexagonal self-organizing map grid,"Abstract/Elaborate,Encode",Self-organizing maps,Open source data,Regulator,Dept monitoring,Financial stability monitoring,Financial risk,Market Risk,Monitor,65.png
Financial Markets in Motion: Visualising stock price and news interactions during the 2008 global financial crisis,Procedia Computer Science,2010,Elizabeth Wu,Computer science,Record data,"Rader word frequency chart,Bubble motion chart,Bar chart","Abstract/Elaborate,Connnect,Explore,Filter,Select",None,"Open source data,Stock company",Regulator,stock analysis,Investment risk,Investment risk,Operational Risk,"Awareness,Evaluation",29.png
Visual market sector analysis for financial time series data,VAST,2010,Hartmut Ziegler,Computer science,Time serials,Pixel bar chart matrix,"Abstract/Elaborate,Connnect,Explore,Filter,Reconfigure,Select",None,Media company,User,Assets/Fund analysis,Asset management,Investment risk,Market Risk,"Awareness,Evaluation",30.png
A Visual Analytics System for Financial Time-Series Data,VINCI,2010,Su Te Lei,Computer science,"Record data,Time serials","Scatter plot,Concentric rings","Abstract/Elaborate,Filter","K-core,k-means",None,Consumer,stock analysis,"Investment risk,Stock forestcasting",Business risk,Liquidity Risk,Evaluation,47.png
Tile-based parallel coordinates and its application in financial visualization,Conference on Visualization and Data Analysis,2010,Jamal Alsakran,Computer science,"Record data,Time serials","Parallel coordinates,Scatter density plot","Encode,Reconfigure",None,Stock company,Investor,"Assets/Fund analysis,stock analysis",Investment risk,Business risk,Liquidity Risk,Evaluation,61.png
A Visualization Approach for Frauds Detection in Financial Market,InfoVis,2009,Mao Lin Huang ,Computer science,"Record data,Time serials","3D Treemap,The node-link graph","Encode,ReconfigureEncode,Abstract/Elaborate",,Stock company,Regulator,"fraud detection,stock analysis",Fraud and market abuse detection and prevention,Economic risk,"Operational Risk,Market Risk","Identify,Monitor",25.png
Visual analysis of mutual fund performance,InfoVis,2009,Jamal Alsakran,Computer science,Record data,The density-based distribution map,"Abstract/Elaborate,Encode",None,None,Consumer,mutual funds analysis,Investment risk,Business risk,Liquidity Risk,Evaluation,35.png
FinVis: Applied visual analytics for personal financial planning,VAST,2009,Rudolph S,Computer science,"Record data,Time serials","The line graph, Matrix","Connnect,Explore,Reconfigure,Select",None,"Bank,Stock company",Consumer,"Assets/Fund analysis,stock analysis",Investment risk,Business risk,Liquidity Risk,Evaluation,41.png
Visual Analytics on the Financial Market: Pixel-based Analysis and Comparison of Long-Term Investments,InfoVis,2008,Hartmut Ziegler,Computer science,"Record data,Time serials",Pixel matrix,"Abstract/Elaborate,Reconfigure",None,None,Consumer,Assets/Fund analysis,Investment risk,Business risk,Liquidity Risk,Evaluation,55.png
Visualization Technique for Linked Changes in Exchange Rates Between Three Currencies,"KICSS - International Conference on Knowledge, Information and Creativity Support Systems",2008,Yu Suzuki,Computer science,"Record data,Time serials","Linked triangle chart,line chart","Abstract/Elaborate,Connnect,Explore",None,None,Regulator,Foreign Exchange rate analysis,"Investment Banking,Trading & sales",Business risk,Market Risk,Evaluation,82.png
Visualization of Financial Trends Using Chance Discovery Methods,IEA,2008,Tzu-Fu Chiu,Computer science,"Network,Record data,Time serials","Node-link diagram,Star plot",Abstract/Elaborate,None,None,Regulator,Financial trend analysis,Financial stability monitoring,Financial risk,Market Risk,"Monitor,Evaluation",84.png
Visualizing Time-Dependent Data in Multivariate Hierarchic Plots - Design and Evaluation of anEconomic Application,InfoVis,2008,Tatiana Tekusova,Computer science,"Record data, Time serials","Sunburst diagram,Icicle diagram","Abstract/Elaborate,Connnect,Encode,Filter,Reconfigure,Select",None,Bank,Regulator,Inflation monitoring,Financial stability monitoring,Financial risk,Market Risk,Evaluation,88.png
Wirevis: Visualization of categorical£¬ time-varying data from financial transactions,VAST,2007,Remco Chang,Computer science,"Time serials,Record data","Heatmap,Multi-line chart,Histogram,network visualization","Abstract/Elaborate,Connnect,Encode,Explore,Filter,Select",k-means,Bank,Regulator,fraud detection,Fraud and market abuse detection and prevention,Business risk,Operational Risk,Identify,13.png
Relevance Driven Visualization of Financial Performance Measures,EuroVis,2007,Hartmut Ziegler,Computer science,"Record data,Time serials",The pixel-based paradigm,"Abstract/Elaborate,ReconfigureEncode",None,Stock company,Consumer,Assets/Fund analysis,Investment risk,Business risk,Liquidity Risk,Evaluation,37.png
Applying Animation to the Visual Analysis of Financial Time-Dependent Data,InfoVis,2007,Tatiana Tekusova,Computer science,"Record data,Time serials",Glyph plot,"Abstract/Elaborate,Encode,Explore,Reconfigure,Select",None,None,Consumer,Assets/Fund analysis,Investment risk,Business risk,Liquidity Risk,Evaluation,39.png
Trajectory-Based Visual Analysis of Large Financial TimeSeries Data,ACM SIGKDD Explorations Newsletter,2007,Shreck T,Computer science,"Record data,Time serials","Squared self-organizing map grid,Pixel","Abstract/Elaborate,Connnect,Explore,Filter,Select",Self-organizing maps,None,Consumer,"Assets/Fund analysis,stock analysis",Investment risk,Business risk,Liquidity Risk,Evaluation,48.png
Visual Exploration and Discovery of atypical Behavior in Financial Time Series Data using Two-Dimensional Colormaps,InfoVis,2007,Hartmut Ziegler,Computer science,"Record data,Time serials",Pixel,"Encode,Explore,Reconfigure",None,Stock company,"Regulator,Consumer","stock analysis,Assets/Fund analysis","Investment risk,Investment Banking,Asset management",Business risk,Liquidity Risk,Evaluation,81.png
Systemic risk monitor: A model for systemic risk analysis and stress testing of banking systems,Financial Stability Report,2006,Boss M,Computer science,Record data,None,Abstract/Elaborate,SRM Modle,Bank,Regulator,Financial analysis,Financial stability monitoring,Financial risk,"Market Risk,Credit Risk",Monitor,10.png
A spectral visualization system for analyzing financial time series data,IEEE TCVG Symposium on Visualization,2006,Daniel A. Keim,Computer science,Time serials,The pixel-based growth Matrix,"Abstract/Elaborate,Encode",None,None,None,Assets/Fund analysis,Asset management,Investment risk,"Operational Risk,Operational Risk","Awareness,Evaluation",31.png
Using MoneyTree To Represent Financial Data,InfoVis,2004,Xiaobin Shen,Computer science,Record data,Glyph,Abstract/Elaborate,None,None,Consumer,stock analysis,"Asset management,Investment Banking",Business risk,Liquidity Risk,Evaluation,87.png
FundExplorer: supporting the diversification of mutual fund portfolios using context treemaps,InfoVis,2003,C. Csallner ,Computer science,Record data,Tree map,"Select,Filter,Explore,Abstract/Elaborate",None,None,"Regulator,Consumer",mutual funds analysis,"Investment Banking,Asset management, Mutual funds analysis",Business risk,Liquidity Risk,Evaluation,86.png
Visualising a fund manager flow graph with columns and worms,InfoVis,2002,T. Dwyer,Computer science,"Record data,Time serials",Node-link diagram,"Abstract/Elaborate,Connnect,Explore,Filter,Reconfigure,Select",None,Stock company,Consumer,"stock analysis,Assets/Fund analysis",Mutual funds analysis,Business risk,Liquidity Risk,Evaluation,80.png
E-R modeling and visualization of large mutual fund data,Journal of Visualization,2002,"Xiong, F. ",Computer science,"Spatial,Record data,Time serials","Geographic Map,Scatter plot,Splat visualization","Abstract/Elaborate,Encode,Explore,Reconfigure,Select",None,None,"Regulator,Consumer",mutual funds analysis,"Investment Banking,Asset management",Business risk,Liquidity Risk,Evaluation,85.png
The NASD Regulation Advanced-Detection System,AI Magazine,1999,Kirkland J.D,Computer science,"Record data,Time serials","Line graph,Scatter plot,Sequence diagram,Node-link diagram,Bar chart",Abstract/Elaborate,"Association rules,Decision Tree,Pattern-matching",Bank,Regulator,"stock analysis,fraud detection",Fraud and market abuse detection and prevention,Business risk,"Operational Risk,Liquedity Risk",Identify,76.png
An interactive framework for visualizing foreign currency exchange options,IEEE VIS ,1999,Gresh D.L,Computer science,"Record data,Time serials",Surface plot,"Abstract/Elaborate,Connnect,Encode,Explore,Filter,Reconfigure",None,Bank,"Regulator,Consumer",Foreign exchange rate analysis,Financial stability monitoring,Business risk,Market Risk,"Awareness,Evaluation",77.png
Effective Information Visualization - Guidelines and Metrics for 3D Interactive Representations of Business Data,University of Toronto,1999,Brath R,Computer science,"Record data,Time serials","Bar chart,Small multiples,Floors and walls,Line graph","Abstract/Elaborate,Connnect,Explore,Filter,Reconfigure,Select",None,Stock company,"Regulator,Consumer",stock analysis,"Investment Banking,Asset management",Business risk,Liquidity Risk,Evaluation,78.png
Visualizing the stock market,CHI - ACM Conference on Human Factors in Computing Systems,1999,Martin Wattenberg,Computer science,Record data,Tree map,Abstract/Elaborate,None,Stock company,"Consumer,Regulator",stock analysis,"Investment Banking,Asset management",Business risk,Liquidity Risk,Evaluation,79.png
Domesticating Bead: adapting an information visualization system to a financial institution,IEEE Visualization Conference,1997,Dominique Brodbeck,Computer science,Record data,Scatter plot,"Abstract/Elaborate,Connnect,Encode,Explore,Filter,Select",MDS,Bank,Consumer,Assets/Fund analysis,Fixed incomes analysis,Business risk,Liquidity Risk,Evaluation,74.png
Business visualization applications,CG&A - IEEE Computer Graphics and Applications Magazine,1997,Wright W,Computer science,"Record data,Time serials",3D Floors and walls(Projected 2D charts on 3D walls),"Abstract/Elaborate,Connnect,Explore,Filter,Select",None,Stock company,"Regulator,Consumer",stock analysis,Investment Banking,Business risk,Liquidity Risk,Evaluation,75.png
Circle Segments: A Technique for Visually Exploring Large Multidimensional Data Sets,IEEE Visualization Conference,1996,Ankerst M,Computer science,"Record data,Time serials",Pixel,"Abstract/Elaborate,Encode",None,Stock company,Consumer,stock analysis,"Asset management,Investment Banking",Business risk,Liquidity Risk,Evaluation,72.png
FINESSE: a financial information spreadsheet,InfoVis,1996,A. Varshney,Computer science,"Record data,Time serials",Plot matrix,"Abstract/Elaborate,Connnect,Explore,Filter,Reconfigure,Select",None,Stock company,Consumer,stock analysis,"Asset management,Investment Banking",Business risk,Liquidity Risk,Evaluation,73.png
Financial Viewpoints: using point-of-view to enable understanding of information,CHI - ACM Conference on Human Factors in Computing Systems,1995,Lisa Strausfeld,Computer science,Record data,Bar chart,Abstract/Elaborate,None,Bank,Consumer,Assets/Fund analysis,Mutual funds analysis,Business risk,Liquidity Risk,Evaluation,71.png
Adapting Treemaps to Stock Portfolio Visualization,Institute for Systems Research Technical Reports,1992,Jungmeister W.A,Computer science,Record data,Tree map,"Abstract/Elaborate,Encode,Explore,Reconfigure,Select",None,Stock company,,stock analysis,"Asset management,Investment Banking",Business risk,Liquidity Risk,Evaluation,70.png
