Title,Conference,Year,Link,Author,domain,DataType,Visualisation,Interaction,Machine_Learning,DataSource,Regulatory_Agencies,Regulations_Types,Regulation_Aims,Risk_Type,Financial_Risks,Risk_Management,picture
EVA: Visual analytics to identify fraudulent events,IEEE VIS/TVCG,2017,https://ieeexplore.ieee.org/document/8023780,Roger A. Leite; Theresia Gschwandtner; Silvia Miksch; Simone Kriglstein; Margit Pohl; Erich Gstrein; Johannes Kuntner,Computer science,"Time serials,Record data","Histograms,Parallel coordinates,Scatter plot","Abstract/Elaborate,Connnect,Encode,Explore,Filter,Select",not mention,Bank,Regulator,fraud detection,Fraud and market abuse detection and prevention,Business risk,Operational Risk,Identify,14.png
Exploring Entity Behavior on the Bitcoin Blockchain,IEEE VIS/TVCG,2017,https://hal.inria.fr/hal-01658500/,Petra Isenberg; Christoph Kinkeldey; Jean-Daniel Fekete,Computer science,Record data,Timeline,"Abstract/Elaborate,Encode,Explore,Filter,Select",,Open source data,"Regulator,User",Bitcoin transaction analysis,Blockchain,Business risk,"Market Risk,Operational Risk",Awareness,20.png
BitConduite: Visualizing and Analyzing Activity on the Bitcoin Network,EuroVis,2017,https://diglib.eg.org/handle/10.2312/eurp20171160,"Kinkeldey Christoph;
Fekete  Jean-Daniel;
Isenberg Petra",Computer science,"Time serials,Record data",Timeline,"Encode,Explore,Filter",k-means,Open source data,Regulator,Bitcoin transaction analysis,Blockchain,Business risk,"Market Risk,Operational Risk",Awareness,21.png
"Go with the Bitcoin Flow, with Visual Analytics","International Conference on Availability,Reliability and Security",2017,https://dl.acm.org/doi/10.1145/3098954.3098972,"Stefano Bistarelli;
Francesco Santini",Computer science,"Record data,Network",force-directed graph,"Abstract/Elaborate,Connnect,Encode,Explore,Filter,Select",None,Open source data,Regulator,Bitcoin transaction analysis,Blockchain,None,None,"Awareness,Evaluation",57.png
A Survey on Visual Analysis Approaches for Financial Data,EuroVis,2016,https://onlinelibrary.wiley.com/doi/full/10.1111/cgf.12931?casa_token=W8hUwZkkwjAAAAAA%3AkAPGdzuyaoPWhQtTC7grCdOubB4cFqnvL0F19DTT0UiJKxBUDbws1jr7-v0SQJdurftyP-eILSr2Ki_q_Q,"S. Ko,I. Cho,S. Afzal,C. Yau,J. Chae,A. Malik,K. Beck,Y. Jang,W. Ribarsky,D. S. Ebert",Computer science,None,None,None,None,None,None,None,None,None,None,None,1.png
The Application of Visual Analytics to Financial Stability Monitoring,Journal of financial stability,2016,https://www.sciencedirect.com/science/article/pii/S1572308916000073?casa_token=Si6gqzSYd-0AAAAA:PPlLXATh1zzKS0BYL_BOzEgXxWqoAWWOd7G3xKS0FyPWQKdVwXIAvW_noj9z8RW-CfSmq5nFunai,Mark D.Flood; Victoria L.Lemieux; MargaretVarg; B.L.William Wong ,Computer science,None,None,None,None,None,None,None,None,None,None,None,3.png
Big Data in Finance,"Big data concepts, theories, and applications(Book)",2016,https://link.springer.com/chapter/10.1007/978-3-319-27763-9_11,Bin Fang;Peng Zhang,Financial,None,None,None,None,None,None,None,None,None,None,None,4.png
Visual Analytics for fraud detection and monitoring,IEEE VAST,2016,https://ieeexplore.ieee.org/document/7347678,Roger A. Leite; Theresia Gschwandtner; Silvia Miksch; Erich Gstrein; Johannes Kuntner,Computer science,"Record data,Time serials",Histograms,"Abstract/Elaborate,Explore,Filter",not mention,Bank,Regulator,fraud detection,Fraud and market abuse detection and prevention,Business risk,Operational Risk,Identify,12.png
Interactive visual analysis of anomalous accounts payable transactions in SAP enterprise systems,Managerial Auditing Journal,2016,https://www.emerald.com/insight/content/doi/10.1108/MAJ-10-2014-1117/full/html,Kishore Singh; Peter Best ,Financial,"Record data,Network",Graph,Abstract/Elaborate,None,Organization,Regulator,fraud detection,Fraud and market abuse detection and prevention,Business risk,Operational Risk,Identify,52.png
"Macroprudential oversight, risk communication and visualization",Journal of financial stability,2016,https://www.sciencedirect.com/science/article/pii/S1572308915001412,Peter Sarlin,Financial,None,None,None,None,None,None,None,None,None,None,None,58.png
Bitconeview: visualization of flows in the bitcoin transaction graph,VizSec,2015,https://ieeexplore.ieee.org/document/7312773,Giuseppe Di Battista; Valentino Di Donato; Maurizio Patrignani; Maurizio Pizzonia; Vincenzo Roselli; Roberto Tamassia,Computer science,"Time serials,Record data",Axis,"Abstract/Elaborate,Encode,Explore,ReconfigureEncode,Select",,Open source data,Regulator,"fraud detection,Bitcoin transaction analysis",Blockchain,Business risk,"Market Risk,Operational Risk","Identify,Awareness",22.png
Discovery of rating fraud with real-time streaming visual analytics,VizSec,2015,https://ieeexplore.ieee.org/document/7312770,Kodzo Webga; Aidong Lu,Computer science,"Record data,Time serials",Pixel matrix,"Abstract/Elaborate,Explore,Filter,Select,ReconfigureEncode",None ,None,Regulator,Rating fraud,Fraud and market abuse detection and prevention,Business risk,Operational Risk,Evaluation,49.png
Visualizing large-scale structure of a million-firms economic network,SA'15 Symposium on VisHPC,2015,https://dl.acm.org/doi/10.1145/2818517.2818525,"Yuji Fujita; Yoshi Fujiwara;
Wataru Souma
 ",Computer science,"Record data,Network",force-directed graph drawing with N-body simulation in physics,"Abstract/Elaborate,ReconfigureEncode",MDS,Open source data,Regulator,Financial analysis,None,None,None,None,50.png
Financevis.net:A Visual Survey of Financial Data Visualizations,IEEE VIS,2014,http://profs.etsmtl.ca/mMcGuffin/research/2014-dumas-financeVis/dumas-2014-FinanceVis-abstract.pdf,Maxime Dumas,Computer science,None,None,None,None,None,None,None,None,None,None,None,2.png
Mapping financial stability,Mapping Financial Stability(Book),2014,https://link.springer.com/content/pdf/10.1007/978-3-642-54956-4.pdf,Sarlin P,Financial,"Record data,Spatiotemporal",SOM,"Abstract/Elaborate,Encode,Explore,Abstract/Elaborate,Encode,Explore",SOM,Open source data,Regulator,Financial trend analysis,Financial stability monitoring,Environmental risk,Market Risk,Monitor,5.png
Dynamic visualization of large transaction networks: the daily Dutch overnight money market,DNB Working Paper,2014,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2416821,"Ronald Heijmans; Richard Heuver;
Clement Levallois;Iman van Lelyveld",Computer science,"Network,Time serials","Animations,The ForceAtlas2 layout","Abstract/Elaborate,Encode",None,Open source data,Regulator,"Financial analysis,Inflation monitoring,Market monitoring",Financial stability monitoring,Economic risk,"Market Risk,Liquedity Risk",Monitor,9.png
VAET: A visual analytics approach for e-transactions time-series,IEEE VIS/TVCG,2014,https://ieeexplore.ieee.org/abstract/document/6876015?casa_token=YTQpDZxLaXgAAAAA:ZoZsvd58uqj01Zw8tqirpGAuQAorad8Y-QUCmr0FbyApcFnEgyPR12LHnEATbpvh7t-Zm2FWlxc,Cong Xie; Wei Chen; Xinxin Huang; Yueqi Hu; Scott Barlowe; Jing Yang,Computer science,"Time serials,Record data","Heatmap,Histograms,KnotLines","Abstract/Elaborate,Encode,Connnect,Explore,Filter,ReconfigureEncode,Select",Decision Tree,Open source data,Regulator,"fraud detection,Commodities analysis",Fraud and market abuse detection and prevention,Business risk,Operational Risk,Identify,15.png
Using Visual Analytics to Enhance Data Exploration and Knowledge Discovery in Financial Systemic Risk Analysis: The Multivariate Density Estimator,iConference,2014,https://www.ideals.illinois.edu/handle/2142/47272,"Lemieux, Victoria L.; Shieh, Benjamin W.K.; Lau, David; Jun, Sun Hwan; Dang, Thomas; Chu, Johnathan; Tam, Geran",Computer science,Record data,Tree map,"Abstract/Elaborate,Explore,Filter,Select,Encode",,Bank,Regulator,Financial analysis,Financial stability monitoring,"Financial risk,Economic risk",Market Risk,Evaluation,26.png
From Text to Bank Interrelation Maps,IEEE Conference on Computational Intelligence for Financial Engineering &Economics,2014,https://ieeexplore.ieee.org/abstract/document/6924053?casa_token=aXfiSnA22cYAAAAA:0WQLQcc8147ZyHX6BDQk27pGKRY3qy9mrnpYQsqraeUZpxXJ5zOS-N92da1KzCeGhr1q-JkLCdU,Samuel R?nnqvist;Peter Sarlin,Computer science,"Record data,Time serials",The node-link graph,"Abstract/Elaborate,Explore,Encode",None,Open source data,Regulator,Bank interrelations analysis,None,None,None,"Monitor,Awareness",33.png
Visual Analytics for Detecting Anomalous Activity in Mobile Money Transfer Services,International Federation for Information Processing,2014,https://link.springer.com/chapter/10.1007/978-3-319-10975-6_5,Evgenia Novikov; Igor Kotenko,Computer science,Record data,The graph-based view,"Abstract/Elaborate,Connnect,Explore,Select,Filter",dimensionality reduction,,Regulator,fraud detection,Mobile money transfer,Business risk,Operational Risk,"Identify,Awareness",34.png
Stream-based active learning for sentiment analysis in the financial domain,information sciences,2014,https://www.sciencedirect.com/science/article/pii/S0020025514004885?casa_token=GVjIx6lsdioAAAAA:x7KmaXhKEVoLeuPoD3-ZjTffa9Jo5HGChvXBNPURzhhWD2FsYg_i79Bgva0reZLbJuDSfZiceLYb,Jasmina Smailovi?;Miha Gr?ar;Nada Lavra?;Martin ?nidar?i?,Computer science,None,None,None,None,None,None,None,None,None,None,None,43.png
A Fraud Detection Visualization System Utilizing Radial Drawings and Heat-maps,IVAPP,2014,https://ieeexplore.ieee.org/abstract/document/7294412?casa_token=cpmRmLmr3MgAAAAA:W3qydsgwBhxuFDt1kikp8w8dvkxXA3TKuCiYFQEQR0i4qgOci7qRD5hF7YhPGYK0lrzFTWxCyBA,Evmorfia N. Argyriou; Antonios Symvonis; Vassilis Vassiliou,Computer science,"Record data,Time serials","Radial,Heatmap","Abstract/Elaborate,Connnect,Explore,Filter,Select,Encode",Decision Tree,None,Regulator,fraud detection,Fraud and market abuse detection and prevention,Business risk,Operational Risk,Identify,46.png
Applying visual analytics to the global legal entity identifier system to enhance financial transparency,"Conference on Data Standards,Information,and Financial Stability",2014,,"VL Lemieux, P Phillips, HS Bajwa, C Li ",Both,None,None,None,None,None,None,None,None,None,None,None,51.png
VectorLens: Angular Selection of Curves within 2D Dense Visualizations,IEEE VIS/TVCG,2014,https://ieeexplore.ieee.org/abstract/document/6919281?casa_token=rA16fOrmEx0AAAAA:SNpBqmxuj5zG-5dc2xKtnOlfsbY_YIYHpflpsugB5dQBE0CBkil_RuwzyXWH5WRGAE4Mh1VXq34,Maxime Dumas; Michael J. McGuffin; Patrick Chasse,Computer science,"Record data,Time serials",Interactive Lens,"Abstract/Elaborate,Connnect,Explore,Filter,Select",None,Stock company,Consumer,stock analysis,Asset management,Business risk,Liquidity Risk,Evaluation,68.png
Financial forecasting using ANFIS networks with Quantum-behaved Particle Swarm Optimization,Expert Systems with Applications,2014,https://www.sciencedirect.com/science/article/pii/S0957417414001948?casa_token=KM97wPSmK1QAAAAA:MJD8dWea4xcoVi51cF_pEFdZ-FypqmTIHLeqBflDDwZ_lLh4b_Q6YuVL2wYi3BRYaDtoBaAvXN1w,AhmadBagheri; HamedMohamma  Peyhani; MohsenAkbari ,Computer science,"Record data,Time serials","Line graphs,Scatter plots",Abstract/Elaborate,"Adaptive Network-based Fuzzy Inference System,Quantum-behaved Particle Swarm Optimization,Wavelet Transform",Stock company,Consumer,stock analysis,"Investment Banking,Asset management",Business risk,Liquidity Risk,Evaluation,69.png
BankSealer: An Online Banking Fraud Analysis and Decision Support System,ICT Systems Security and Privacy Protection,2014,https://link.springer.com/chapter/10.1007/978-3-642-55415-5_32,Michele Carminati;Roberto Caron; Federico Maggi; Ilenia Epifani; Stefano Zanero,Computer science,None,None,None,None,Bank,Regulator,fraud detection,Fraud and market abuse detection and prevention,Business risk,Operational Risk,Identify,90.png
Exploiting the self-organizing financial stability map,Engineering Applications of Artificial Intelligence,2013,https://www.sciencedirect.com/science/article/pii/S0952197613000122?casa_token=Y51cdbYXBgYAAAAA:ou-N49dPBW5dyJjRdO094c8s6MbgOoeEL07n2mk5zQnCvohA7Wsz-UTl25GPYjOs0yZr-sEMpmNE,Sarlin P,Computer science,"Record data,Spatiotemporal",SOM,"Abstract/Elaborate,Encode,Explore",SOM,Open source data,Regulator,Financial trend analysis,Financial stability monitoring,Environmental risk,Market Risk,Monitor,6.png
Self-organizing time map: An abstraction of temporal multivariate patterns,Neurocomputing,2013,https://www.sciencedirect.com/science/article/pii/S0925231212005759?casa_token=lKCDs-bFR8YAAAAA:Jq1y25chmD5HxTtVPTTwRiRNXyNPFMX-wdSKKUK7NlQvKUbgx9X0HUOS4Q1-4fiL5DXiXkOoIVeq,Sarlin P,Computer science,"Record data,Spatiotemporal",SOM,"Abstract/Elaborate,Encode,Explore",SOM,Open source data,Regulator,Financial trend analysis,Financial stability monitoring,Environmental risk,Market Risk,Monitor,8.png
Financial Visualization Case Study: Correlating Financial Timeseries and Discrete Events to Support Investment Decisions,International Conference on Information Visualisation,2013,https://ieeexplore.ieee.org/abstract/document/6676568?casa_token=CgTj1zVNfZUAAAAA:UWPlzVsC-FtrKr2ZKDIstrKGrjbM5xCqEjxcfTzFhcnTHejPyhzMhgxySfT9lHTGnCRgxpQIJMg,Eugene Sorenson; Richard Brath,Computer science,"Record data,Time serials","Timeline,The line graph","Abstract/Elaborate,Connnect,ReconfigureEncode,Filter",None,Stock company,Consumer,stock analysis,"Investment risk,Stock forestcasting",Business risk,Liquidity Risk,Evaluation,36.png
Occupational fraud detection through visualization,IEEE International Conference on Intelligence and Security Informatics,2013,https://ieeexplore.ieee.org/abstract/document/6578773?casa_token=w_OvMgTC7AIAAAAA:pEyqtLWrXoBHObDlGkNpIz6M8vr23WL7rjpm0aGQNzjPxRDUu-jCxrUXDBaRG39cHKnnEWreniU,Evmorfia N. Argyriou; Aikaterini A. Sotiraki; Antonios Symvonis,Computer science,Record data,"Rader view,Tree map,The line graph,Bar chart","Abstract/Elaborate,Connnect,Explore,ReconfigureEncode,Select,Filter",None,None,Regulator,fraud detection,Fraud and market abuse detection and prevention,Business risk,Operational Risk,Identify,45.png
The application of visual analytics to financial decision-making and risk management: Notes from behaviouralEconomic,Financial Analysis and Risk Management,2013,https://link.springer.com/chapter/10.1007/978-3-642-32232-7_5,Anya C. Savikhin,Financial,None,None,None,None,None,None,None,None,None,None,None,56.png
Louvain Clustering for Big Data Graph Visual Analytics,IEEE Symposium on Information Visualization,2013,https://www.researchgate.net/profile/Scott-Langevin-2/publication/336855830_Louvain_Clustering_for_Big_Data_Graph_Visual_Analytics/links/5db75a064585151435cdd05a/Louvain-Clustering-for-Big-Data-Graph-Visual-Analytics.pdf,David Gauldie,Computer science,Network,Node-link diagram,"Abstract/Elaborate,Encode",Louvain Clustering,Open source data,Regulator,fraud detection,Fraud and market abuse detection and prevention,Business risk,Operational Risk,"Identify,Evaluation",67.png
RiskVA: A Visual Analytics System for Consumer Credit Risk Analysis,Tsinghua Science and Technology,2012,https://ieeexplore.ieee.org/abstract/document/6297590,Xiaoyu Wang; Dong Jeong; Remco Chang; William Ribarsky,Computer science,Record data,"Heatmap,bubble chart,bar chart","Abstract/Elaborate,Connnect,Encode,Explore,Filter,Select",None,Bank,Bank,Consumer credit risk analysis/Credit product assess,Credit product assess,Business risk,Credit Risk,Evaluation,32.png
Sphere-based Information Visualization: Challenges and Benefits,International Conference on Information Visualisation,2012,https://ieeexplore.ieee.org/abstract/document/6295783?casa_token=vxP5UuCR-V4AAAAA:7QKCDaJ0bj6HOqtjXipHIEVjzTmSkw9MLBKUGAzwshm0ugxmkMCt6AjNIkH7-Skhe97tB9Ao1As,Richard Brath; Peter Macmurchy,Computer science,Record data,"Sphere-based scatter plot,Sphere-based tree map","Abstract/Elaborate,Explore,Reconfigure",None,Stock company,Regulator,stock analysis,Asset management,Business risk,Liquidity Risk,Evaluation,66.png
Vis4AUI: Visual Analysis of Banking Activity Networks,IVAPP 2012 - International Conference on Information Visualization Theory and Applications,2012,https://www.scitepress.org/papers/2012/39334/39334.pdf,Walter Didimo;Giuseppe Liotta; Fabrizio Montecchiani,Computer science,Network,"Node-link diagram,line graph,pie chart","Explore,Abstract/Elaborate,Filter,Select",None,Bank,Regulator,fraud detection,Fraud and market abuse detection and prevention,Business risk,Operational Risk,Identify,89.png
An advanced network visualization system for financial crime detection,IEEE PacificVis,2011,https://ieeexplore.ieee.org/abstract/document/5742391?casa_token=hrLduZqCsF8AAAAA:gtiD2Swsbns2JXf1XRtUuWrXWO2iNadJ-KPmopNPuuu8WOpXnNW6YuS8s3XZlxOfRfUsa71OvBk,Walter Didimo; Giuseppe Liotta; Fabrizio Montecchiani; Pietro Palladino,Computer science,Network,The node-link graph,"Encode,Explore,Abstract/Elaborate,Select",Similar to k-core,Bank,Regulator,fraud detection,Fraud and market abuse detection and prevention,Business risk,Operational Risk,Identify,27.png
An Experimental Study of Financial Portfolio Selection with Visual Analytics for Decision Support,Hawaii International Conference on System Sciences,2011,https://ieeexplore.ieee.org/abstract/document/5718571?casa_token=UvudxfKGoyQAAAAA:jUPcqvWhNfu-L3Be59mVditFf2bxB9uvSAhOsLWpljGtAu-2zyCNiw1i_HaqkM835oXthiYHvx0,Anya Savikhin; Hon Cheong Lam; Brian Fisher; David S. Ebert,Computer science,Record data,"Bar chart, Scatter plot","Abstract/Elaborate,Connnect,Explore,Filter,Select",None,Bank,Consumer,Assets/Fund analysis,Investment risk,Business risk,Liquidity Risk,Evaluation,54.png
Business Analytics Based on Financial Time Series,IEEE SIGNAL PROCESSING MAGAZINE,2011,https://ieeexplore.ieee.org/abstract/document/5999596?casa_token=iROp9jPxru8AAAAA:kFffQKaleawymG3A_-heqdtBUVg6JFYBOK-FwFmi7JzidbLCGUz_S30AKukfFTa7RagGZJ_k8xw,Kush R. Varshney; Aleksandra Mojsilovi?,Both,None,None,None,None,None,None,None,None,None,None,None,59.png
Visual signatures for financial time series,VINCI - International Symposium on Visual Information Communication and Interaction,2011,https://dl.acm.org/doi/abs/10.1145/2016656.2016672?casa_token=Jy4GoCu5LNMAAAAA:fu8uSqnYX21YmI4lyhHkkbveUsAUAVHFMKjnjoGHR00R69W4I8tXACKmfqtDneApxuwNDb3mOHboei0,Su Te Lei; Kang Zhang,Computer science,Time serials,Glyph plot,Abstract/Elaborate,None,Stock company,Investor,stock analysis,Investment risk,Business risk,Liquidity Risk,Evaluation,62.png
A Novel Explorative Visualization Tool for Financial Time Series Data Analysis,International UKVAC Workshop on Visual Analytics,2011,http://kops.uni-konstanz.de/bitstream/handle/123456789/26526/Schaefer_265267.pdf?sequence=2,"Schaefer, M., Wanner, F., Kahl, R., Zhang, L., Schreck, T., & Keim, D.",Computer science,Time serials,"Line graph, Pixel bar chart","Abstract/Elaborate,ReconfigureEncode,Select,Explore",None,Stock company,Investor,"Assets/Fund analysis,stock analysis",Asset management,Business risk,Liquidity Risk,Evaluation,63.png
Fuzzy Clustering of the Self-Organizing Map: Some Applications on Financial Time Series,International Workshop on Self-Organizing Maps,2011,https://link.springer.com/chapter/10.1007/978-3-642-21566-7_4,Peter Sarlin;Tomas Eklund,Computer science,"Time serials,Record data",Hexagonal self-organizing map grid,"Abstract/Elaborate,Encode","Fuzzy C-means clustering,Self-organizing maps",Open source data,Regulator,Market monitoring,Financial stability monitoring,Financial risk,Market Risk,Monitor,64.png
Sovereign debt monitor: A visual Self-organizing maps approach,IEEE Symposium on Computational Intelligence for Financial Engineering and Economics,2011,https://ieeexplore.ieee.org/abstract/document/5953556/?casa_token=cX-9_QkHBrkAAAAA:r5RtL7E63Jsvkxevv3GpwjFc4WZfyB-t8Qe5M5YMijI1ajlRgMksp9WsB4Hk7Cp-TJP9kr0_FjI,Sarlin P,Computer science,"Record data,Time serials",Hexagonal self-organizing map grid,"Abstract/Elaborate,Encode",Self-organizing maps,Open source data,Regulator,Dept monitoring,Financial stability monitoring,Financial risk,Market Risk,Monitor,65.png
Financial Markets in Motion: Visualising stock price and news interactions during the 2008 global financial crisis,Procedia Computer Science,2010,https://www.sciencedirect.com/science/article/pii/S1877050910001997,ElizabethWu; PeterPhillips,Computer science,Record data,"Rader word frequency chart,Bubble motion chart,Bar chart","Abstract/Elaborate,Connnect,Explore,Filter,Select",None,"Open source data,Stock company",Regulator,stock analysis,Investment risk,Investment risk,Operational Risk,"Awareness,Evaluation",29.png
Visual market sector analysis for financial time series data,IEEE VIS/TVCG,2010,https://ieeexplore.ieee.org/abstract/document/5652530?casa_token=uSzV9B34j2IAAAAA:niOOHB0vO7NBV2Hr3xF2HuQ-1pKIJyqO0p9mwQ8_aS4xNo4rhgQVV7POH6xUHCjP5pkdhMqidQg,Hartmut Ziegler; Marco Jenny; Tino Gruse; Daniel A. Keim,Computer science,Time serials,Pixel bar chart matrix,"Abstract/Elaborate,Connnect,Explore,Filter,Reconfigure,Select",None,Media company,User,Assets/Fund analysis,Asset management,Investment risk,Market Risk,"Awareness,Evaluation",30.png
A Visual Analytics System for Financial Time-Series Data,VINCI,2010,https://dl.acm.org/doi/abs/10.1145/1865841.1865868?casa_token=UeDnuGhab0EAAAAA:zZV689g1K9V-K0IPnck3fCAckMqcPBbtEXw3GqlXfyoUN2yPW7FTNqgyIZ-q6WXGxaKUjxUAIoy8q8U,Su Te Lei; Kang Zhang,Computer science,"Record data,Time serials","Scatter plot,Concentric rings","Abstract/Elaborate,Filter","K-core,k-means",None,Consumer,stock analysis,"Investment risk,Stock forestcasting",Business risk,Liquidity Risk,Evaluation,47.png
Tile-based parallel coordinates and its application in financial visualization,Conference on Visualization and Data Analysis,2010,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/7530/753003/Tile-based-parallel-coordinates-and-its-application-in-financial-visualization/10.1117/12.838819.full?SSO=1,Jamal Alsakran; Ye Zhao; Xinlei Zhao,Computer science,"Record data,Time serials","Parallel coordinates,Scatter density plot","Encode,Reconfigure",None,Stock company,Investor,"Assets/Fund analysis,stock analysis",Investment risk,Business risk,Liquidity Risk,Evaluation,61.png
A Visualization Approach for Frauds Detection in Financial Market,International Conference Information Visualisation,2009,https://ieeexplore.ieee.org/abstract/document/5190773?casa_token=e-iY8KBXv3MAAAAA:Epmaad1PJOnFSS-blV2Q1JfKrmNV6on3WX29Jyz7Y6g-4KOBIVIgCrNKsnyO80U-W1BooARTtoY,Mao Lin Huang; Jie Liang; Quang Vinh Nguyen,Computer science,"Record data,Time serials","3D Treemap,The node-link graph","Encode,ReconfigureEncode,Abstract/Elaborate",,Stock company,Regulator,"fraud detection,stock analysis",Fraud and market abuse detection and prevention,Economic risk,"Operational Risk,Market Risk","Identify,Monitor",25.png
Visual analysis of mutual fund performance,International Conference Information Visualisation,2009,https://ieeexplore.ieee.org/abstract/document/5190782?casa_token=Byi9lqA3IeIAAAAA:q-JxZGLQUR8mYmkJ6p7hps5WP0uc-CGuBy2AIFJBnmXv_wPviEsFIG1zRCwwttPsnMX94jxQCmY,Jamal Alsakran; Ye Zhao; Xinlei Zhao,Computer science,Record data,The density-based distribution map,"Abstract/Elaborate,Encode",None,None,Consumer,mutual funds analysis,Investment risk,Business risk,Liquidity Risk,Evaluation,35.png
